"(((Four:Spades),(Two:Spades)),((Three:Spades),(Three:Hearts)))",12
"(((Four:Spades),(Two:Spades)),((Four:Hearts),(Two:Diamonds)))",24
"(((Four:Spades),(Two:Spades)),((Four:Hearts),(Two:Hearts)))",12
"(((Four:Spades),(Three:Hearts)),((Two:Diamonds),(Two:Clubs)))",12
"(((Four:Spades),(Three:Hearts)),((Two:Hearts),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Two:Spades),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Two:Spades),(Two:Hearts)))",12
"(((Four:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Clubs)))",24
"(((Four:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Hearts)))",24
"(((Four:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Spades)))",24
"(((Four:Spades),(Three:Hearts)),((Three:Diamonds),(Three:Clubs)))",12
"(((Four:Spades),(Three:Hearts)),((Three:Spades),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Three:Spades),(Two:Hearts)))",12
"(((Four:Spades),(Three:Hearts)),((Three:Spades),(Two:Spades)))",12
"(((Four:Spades),(Three:Hearts)),((Three:Spades),(Three:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Clubs)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Hearts)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Two:Spades)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Three:Clubs)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Diamonds),(Three:Spades)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Hearts),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Hearts)),((Four:Hearts),(Two:Hearts)))",12
"(((Four:Spades),(Three:Hearts)),((Four:Hearts),(Two:Spades)))",12
"(((Four:Spades),(Three:Hearts)),((Four:Hearts),(Three:Spades)))",12
"(((Four:Spades),(Three:Spades)),((Two:Hearts),(Two:Diamonds)))",12
"(((Four:Spades),(Three:Spades)),((Two:Spades),(Two:Hearts)))",12
"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Two:Hearts)))",12
"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Two:Spades)))",12
"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Three:Diamonds)))",12
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Diamonds)))",24
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Hearts)))",12
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Spades)))",12
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Three:Diamonds)))",24
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Three:Hearts)))",12
"(((Four:Spades),(Four:Hearts)),((Two:Diamonds),(Two:Clubs)))",6
"(((Four:Spades),(Four:Hearts)),((Two:Spades),(Two:Diamonds)))",24
"(((Four:Spades),(Four:Hearts)),((Two:Spades),(Two:Hearts)))",6
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Clubs)))",12
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Diamonds)))",12
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Hearts)))",24
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Three:Clubs)))",6
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Two:Diamonds)))",24
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Two:Hearts)))",12
