"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Two:Spades)))",0.4019,0.4319,0.1662
"(((Four:Spades),(Three:Spades)),((Three:Hearts),(Three:Diamonds)))",0.4294,5.14e-2,0.5192
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Diamonds)))",0.3896,0.4353,0.1751
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Hearts)))",0.3735,0.4239,0.2026
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Two:Spades)))",0.3809,0.4461,0.173
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Three:Diamonds)))",0.1131,0.8633,2.36e-2
"(((Four:Spades),(Three:Spades)),((Four:Hearts),(Three:Hearts)))",0.1131,0.8506,3.63e-2
"(((Four:Spades),(Four:Hearts)),((Two:Diamonds),(Two:Clubs)))",0.8091,3.82e-2,0.1527
"(((Four:Spades),(Four:Hearts)),((Two:Spades),(Two:Diamonds)))",0.8065,3.83e-2,0.1552
"(((Four:Spades),(Four:Hearts)),((Two:Spades),(Two:Hearts)))",0.8204,3.87e-2,0.1409
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Clubs)))",0.8485,3.82e-2,0.1133
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Diamonds)))",0.7858,3.48e-2,0.1794
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Two:Hearts)))",0.8511,3.82e-2,0.1107
"(((Four:Spades),(Four:Hearts)),((Three:Diamonds),(Three:Clubs)))",0.7249,3.84e-2,0.2367
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Two:Diamonds)))",0.8495,3.83e-2,0.1122
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Two:Hearts)))",0.8629,3.89e-2,9.82e-2
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Two:Spades)))",0.7884,3.49e-2,0.1767
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Three:Diamonds)))",0.7242,3.85e-2,0.2373
"(((Four:Spades),(Four:Hearts)),((Three:Spades),(Three:Hearts)))",0.7344,3.99e-2,0.2257
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Two:Clubs)))",0.8543,6.42e-2,8.15e-2
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Two:Diamonds)))",0.7901,5.92e-2,0.1507
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Two:Hearts)))",0.8554,6.45e-2,8.01e-2
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Three:Clubs)))",0.8369,6.37e-2,9.94e-2
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Three:Diamonds)))",0.7737,5.88e-2,0.1675
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Three:Hearts)))",0.8359,6.41e-2,0.1
"(((Four:Spades),(Four:Hearts)),((Four:Diamonds),(Four:Clubs)))",2.06e-2,0.9564,2.3e-2
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Two:Clubs)))",0.3564,5.1e-2,0.5926
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Clubs)))",0.4635,0.3393,0.1972
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Diamonds)))",0.431,0.3095,0.2595
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Hearts)))",0.4614,0.3417,0.1969
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Spades)))",0.4639,0.3412,0.1949
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Four:Clubs)))",0.4676,0.3384,0.194
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Four:Diamonds)))",0.433,0.3065,0.2605
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Four:Hearts)))",0.4622,0.34,0.1978
"(((Five:Spades),(Two:Hearts)),((Two:Diamonds),(Four:Spades)))",0.463,0.3401,0.1969
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Two:Diamonds)))",0.3567,5.21e-2,0.5912
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Three:Diamonds)))",0.463,0.3422,0.1948
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Three:Hearts)))",0.4622,0.3503,0.1875
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Three:Spades)))",0.4361,0.3166,0.2473
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Four:Diamonds)))",0.4622,0.3418,0.196
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Four:Hearts)))",0.4625,0.3502,0.1873
"(((Five:Spades),(Two:Hearts)),((Two:Spades),(Four:Spades)))",0.4276,0.3138,0.2586
"(((Five:Spades),(Two:Hearts)),((Three:Diamonds),(Three:Clubs)))",0.3228,3.68e-2,0.6404
"(((Five:Spades),(Two:Hearts)),((Three:Hearts),(Three:Diamonds)))",0.3183,3.68e-2,0.6449
"(((Five:Spades),(Two:Hearts)),((Three:Spades),(Three:Diamonds)))",0.3221,3.68e-2,0.6411
"(((Five:Spades),(Two:Hearts)),((Three:Spades),(Three:Hearts)))",0.3196,3.74e-2,0.643
"(((Five:Spades),(Two:Hearts)),((Four:Diamonds),(Three:Clubs)))",0.4007,0.2126,0.3867
"(((Five:Spades),(Two:Hearts)),((Four:Diamonds),(Three:Diamonds)))",0.3701,0.1886,0.4413
"(((Five:Spades),(Two:Hearts)),((Four:Diamonds),(Three:Hearts)))",0.3966,0.2135,0.3899
"(((Five:Spades),(Two:Hearts)),((Four:Diamonds),(Three:Spades)))",0.3984,0.2137,0.3879
"(((Five:Spades),(Two:Hearts)),((Four:Diamonds),(Four:Clubs)))",0.3165,2.96e-2,0.6539
"(((Five:Spades),(Two:Hearts)),((Four:Hearts),(Three:Diamonds)))",0.3957,0.2137,0.3906
"(((Five:Spades),(Two:Hearts)),((Four:Hearts),(Three:Hearts)))",0.3817,0.2086,0.4097
"(((Five:Spades),(Two:Hearts)),((Four:Hearts),(Three:Spades)))",0.3942,0.2186,0.3872
"(((Five:Spades),(Two:Hearts)),((Four:Hearts),(Four:Diamonds)))",0.3084,2.95e-2,0.6621
"(((Five:Spades),(Two:Hearts)),((Four:Spades),(Three:Diamonds)))",0.3972,0.2139,0.3889
"(((Five:Spades),(Two:Hearts)),((Four:Spades),(Three:Hearts)))",0.3979,0.2187,0.3834
"(((Five:Spades),(Two:Hearts)),((Four:Spades),(Three:Spades)))",0.3777,0.1959,0.4264
"(((Five:Spades),(Two:Hearts)),((Four:Spades),(Four:Diamonds)))",0.3151,2.98e-2,0.6551
"(((Five:Spades),(Two:Hearts)),((Four:Spades),(Four:Hearts)))",0.3098,3.01e-2,0.6601
"(((Five:Spades),(Two:Hearts)),((Five:Diamonds),(Two:Clubs)))",2.54e-2,0.9572,1.74e-2
"(((Five:Spades),(Two:Hearts)),((Five:Diamonds),(Two:Spades)))",1.74e-2,0.9672,1.54e-2
"(((Five:Spades),(Two:Hearts)),((Five:Hearts),(Two:Spades)))",1.1e-2,0.9875,1.5e-3
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Two:Diamonds)))",0.4127,4.86e-2,0.5387
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Three:Diamonds)))",0.5087,0.309,0.1823
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Three:Hearts)))",0.4836,0.304,0.2124
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Three:Spades)))",0.5011,0.3171,0.1818
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Four:Diamonds)))",0.5145,0.3051,0.1804
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Four:Hearts)))",0.4904,0.3005,0.2091
"(((Five:Spades),(Two:Spades)),((Two:Hearts),(Four:Spades)))",0.5058,0.3139,0.1803
